16.1.2024 г. 1:18:42
Make,Year,Count,Variance
Други,2023,2,0.237
Kawasaki,2023,2,0.350
Ktm,2006,3,0.232
Yamaha,2018,5,0.322
Yamaha,2021,2,0.476
