13.1.2024 г. 17:20:58
0, 2
2006, 10
2007, 14
2008, 21
2009, 16
2010, 10
2011, 12
2012, 30
2013, 16
2014, 9
2015, 25
2016, 33
2017, 37
2018, 29
2019, 29
2020, 32
2021, 20
2022, 14
2023, 19
